,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID,Correct ID,Vote Average,Vote Count,Genre,Movie Budget,Movie Revenue,Original Language
142,301,Angel Has Fallen,2019,18+,75/100,1,0,0,0,0,423204,423204,6.526,2779,Action,40000000,146661977,en
143,302,Crimson Peak,2015,18+,75/100,1,0,0,0,0,201085,201085,6.639,4336,Horror,55000000,74679822,en
144,304,The Red Sea Diving Resort,2019,18+,75/100,1,0,0,0,0,465003,465003,6.9,671,Drama,0,0,en
145,305,The Angel,2018,18+,75/100,1,0,0,0,0,468362,468362,6.7,245,Action,12000000,0,en
146,306,Army of the Dead,2021,18+,75/100,1,0,0,0,0,28939,503736,6.298,3142,Action,0,780000,en
147,307,Madagascar 3: Europe's Most Wanted,2012,7+,75/100,1,0,0,0,0,80321,80321,6.587,5187,Animation,145000000,746921274,en
148,308,Icarus,2017,18+,75/100,1,0,0,0,0,35402,432976,7.7,579,Documentary,0,0,en
149,309,Collateral Beauty,2016,13+,75/100,1,0,0,0,0,345920,345920,7.255,4910,Drama,36000000,88528280,en
150,310,The Danish Girl,2015,18+,75/100,1,0,0,0,0,306819,306819,7.619,5234,Drama,15000000,64191523,en
151,312,John Mulaney: New in Town,2012,18+,75/100,1,0,0,0,0,86705,86705,8.1,146,Comedy,0,0,en
152,314,The White Tiger,2021,18+,75/100,1,0,0,0,0,628534,628534,6.953,697,Drama,0,0,en
153,317,The Death of Stalin,2017,18+,75/100,1,0,0,0,0,402897,402897,7.009,1463,Comedy,13000000,24640027,en
154,319,Underworld: Awakening,2012,18+,74/100,1,1,0,0,0,52520,52520,6.285,3530,Fantasy,70000000,160112671,en
155,320,Philomena,2013,13+,74/100,1,0,0,0,0,205220,205220,7.391,1374,Drama,12000000,100129872,en
156,322,Nappily Ever After,2018,18+,74/100,1,0,0,0,0,519035,519035,7.2,759,Comedy,0,0,en
157,323,I Care a Lot,2021,18+,74/100,1,0,0,0,0,601666,601666,6.646,2082,Comedy,0,0,en
158,324,The Butler,2013,13+,74/100,1,0,0,0,0,132363,132363,7.355,2579,Drama,25000000,115922175,en
159,327,Home,2015,7+,74/100,1,0,1,0,0,49470,228161,6.774,3405,Fantasy,135000000,368871007,en
160,329,Seeing Allred,2018,16+,74/100,1,0,0,0,0,490818,490818,6.9,30,Documentary,0,0,en
161,337,A Ghost Story,2017,18+,74/100,1,0,0,0,0,428449,428449,7.1,1911,Drama,100000,1929659,en
162,338,Safety Not Guaranteed,2012,18+,74/100,1,0,0,0,0,84332,84332,6.825,1174,Comedy,750000,4424699,en
163,339,Game Over,2019,13+,74/100,1,0,0,0,0,27553,553456,6.3,46,Thriller,0,0,ta
164,340,Peppermint,2018,18+,74/100,1,0,0,0,0,47961,458594,6.7,1691,Action,25000000,53918723,en
